Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
A Unified Framework of Five Principles for AI in Society,.,https://hdsr.mitpress.mit.edu/pub/l0jsh9d1/release/8,,,,,,,,Not included,meta analysis,0,,,,,,,,,,,1,,1,Maria,,,
AI Decolonial Manyfesto,.,https://manyfesto.ai/,"Aarathi Krishnan, Angie Abdilla, A Jung Moon, Carlos Affonso Souza, Chelle Adamson, Eileen M. Lach, Farah Ghazal, Jessica Fjeld, Jennyfer Taylor, John C. Havens, Malavika Jayaram, Monique Morrow, Nagla Rizk, Paola Ricaurte Quijano, R. Buse Çetin, Raja Chatila, Ravit Dotan, Sabelo Mhlambi, Sara Jordan, Sarita Rosenstock",.,civil society,international,2021,"collective, decolonial, petition",,Not included,not cited,0,,,,,,,,,,,,,0,Maria,Should be included if was cited by anyone,,
Asimov’s three laws of Robotics,.,,,,,,,,,Not included,not accessible,0,,,,,,,,,,,1,,1,Maria,,,
Intel Recommends Public Policy Principles for Artificial Intelligence,. Intel ?,https://community.intel.com/t5/Blogs/Intel/Policy-Intel/Intel-Recommends-Public-Policy-Principles-for-Artificial/post/1333004,Naveen Rao,,,,,,,Included,SPI,1,,,,,,1,,,,,1,,2,Maria,,,
Li Yanhong's Four Principles of AI Ethics,.,https://www.fonow.com/view/208592.html,,,,China,,,,Included,press,1,,,,,,1,,,,,,,1,Maria,,,
Murphy and Wood’s three laws of Responsible Robotics,.,https://www.inf.ufrgs.br/~prestes/Courses/Robotics/beyond%20asimov.pdf,,,,,,,,Included,digital,1,,,,,,,,,,,1,,1,Maria,,,
Six Principles of Artificial Intelligence,.,http://it.people.com.cn/n1/2020/0309/c1009-31622757.html,,,,China,,,,Not included,not in english,0,,,,,,1,,,,,,,1,Maria,,,
The #FreeAI Manifesto,.,https://github.com/freeai-manifesto/manifesto,"Maxim Orlovsky, Andrey Sobol",.,civil society,international,2018,"manifest machine-learning, neural-network, decentralized, manifesto, artificial-intelligence, neural-networks, floss, cognitive-science, decentralization, anarchy, anarchism, skynet, transhumanism, anarcho-capitalism, austrian-school-economics",,Not included,not cited,0,,,,,,,,,,,,,0,Maria,Should be included if was cited by anyone,,
The Partnership of the Future,.,https://slate.com/technology/2016/06/microsoft-ceo-satya-nadella-humans-and-a-i-can-work-together-to-solve-societys-challenges.html,Satya Nadella,,,,,,,Included,press,1,,,,,,1,,,,,,,1,Maria,,,
Artificial intelligence in Healthcare,Academy of Medical Royal Colleges,https://www.aomrc.org.uk/wp-content/uploads/2019/01/Artificial_intelligence_in_healthcare_0119.pdf,,,,UK,,,,Included,SPI field-specific,1,,,,,,,,,1,,,,1,Maria,,,
